Year,male,female,Sex_total,All_total,A1,A2,大客車,小客車,大貨車,小貨車,重型機車,輕型機車,自行車,行人,其他
98,401,70,471,15326,5,466,0,208,1,13,133,41,37,33,5
99,543,85,628,18983,4,624,0,304,0,18,145,61,47,46,7
100,708,109,817,20046,6,811,2,364,5,16,255,55,48,49,23
101,732,122,854,19192,3,851,3,400,1,25,241,48,62,52,22
102,813,157,970,19687,7,964,0,488,1,25,266,59,70,46,16
103,935,197,1132,20529,4,1128,0,559,2,32,319,68,63,80,9
104,972,199,1171,20649,10,1161,1,578,1,42,352,65,72,54,6
105,1131,279,1410,22448,7,1403,0,663,1,49,416,82,103,92,4
106,1272,363,1635,21682,7,1628,0,787,2,62,491,77,117,87,12
107,1505,357,1862,21548,11,1851,0,897,3,80,583,78,129,76,16
